Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
28,Scottie Barnes,PF,21,TOR,69,68,2409,415,916,0.453,61,205,0.298,354,711,0.498,0.486,178,230,0.774,165,308,473,326,68,56,140,154,1069
29,RJ Barrett,SG,22,NYK,66,66,2244,465,1068,0.435,112,353,0.317,353,715,0.494,0.488,262,352,0.744,55,281,336,178,29,13,146,164,1304
30,Will Barton,SG,32,TOT,49,0,878,117,313,0.374,56,154,0.364,61,159,0.384,0.463,35,45,0.778,11,111,122,104,21,12,48,48,325
30,Will Barton,SG,32,WAS,40,0,782,110,285,0.386,52,138,0.377,58,147,0.395,0.477,35,45,0.778,10,101,111,95,17,10,45,39,307
30,Will Barton,SG,32,TOR,9,0,96,7,28,0.25,4,16,0.25,3,12,0.25,0.321,0,0,,1,10,11,9,4,2,3,9,18
31,Charles Bassey,C,22,SAS,35,2,508,87,135,0.644,3,8,0.375,84,127,0.661,0.656,22,37,0.595,75,118,193,48,16,33,41,74,199
32,Keita Bates-Diop,SF,27,SAS,56,31,1174,179,357,0.501,38,102,0.373,141,255,0.553,0.555,84,106,0.792,57,139,196,79,39,16,44,56,480
33,Nicolas Batum,PF,34,LAC,68,12,1474,136,330,0.412,102,269,0.379,34,61,0.557,0.567,30,44,0.682,59,215,274,101,45,41,46,134,404
34,Darius Bazley,PF,22,TOT,39,1,579,74,166,0.446,19,49,0.388,55,117,0.47,0.503,37,67,0.552,30,98,128,34,20,31,23,39,204
34,Darius Bazley,PF,22,OKC,36,1,555,71,158,0.449,18,45,0.4,53,113,0.469,0.506,36,65,0.554,29,93,122,32,19,29,22,35,196
34,Darius Bazley,PF,22,PHO,3,0,24,3,8,0.375,1,4,0.25,2,4,0.5,0.438,1,2,0.5,1,5,6,2,1,2,1,4,8
35,Bradley Beal,SG,29,WAS,49,49,1641,440,863,0.51,80,215,0.372,360,648,0.556,0.556,184,218,0.844,39,152,191,264,45,33,143,101,1144
36,Malik Beasley,SG,26,TOT,71,27,1896,335,853,0.393,211,595,0.355,124,258,0.481,0.516,44,55,0.8,31,224,255,114,59,8,80,98,925
36,Malik Beasley,SG,26,UTA,55,13,1472,265,669,0.396,169,471,0.359,96,198,0.485,0.522,37,44,0.841,27,170,197,93,44,8,60,75,736
36,Malik Beasley,SG,26,LAL,16,14,424,70,184,0.38,42,124,0.339,28,60,0.467,0.495,7,11,0.636,4,54,58,21,15,0,20,23,189
37,MarJon Beauchamp,SF,22,MIL,42,9,578,80,206,0.388,38,120,0.317,42,86,0.488,0.481,21,29,0.724,34,58,92,26,18,4,37,60,219
38,D?vis Bert?ns,PF,30,DAL,40,0,433,57,136,0.419,46,120,0.383,11,16,0.688,0.588,10,12,0.833,8,33,41,20,10,6,10,49,170
39,Patrick Beverley,PG,34,TOT,57,57,1565,125,307,0.407,71,205,0.346,54,102,0.529,0.523,44,61,0.721,42,172,214,164,48,35,55,167,365
39,Patrick Beverley,PG,34,LAL,45,45,1211,97,241,0.402,55,158,0.348,42,83,0.506,0.517,39,50,0.78,24,116,140,118,40,25,42,124,288
39,Patrick Beverley,PG,34,CHI,12,12,354,28,66,0.424,16,47,0.34,12,19,0.632,0.545,5,11,0.455,18,56,74,46,8,10,13,43,77
40,Saddiq Bey,SF,23,TOT,66,32,1857,295,711,0.415,130,357,0.364,165,354,0.466,0.506,193,224,0.862,73,223,296,97,60,13,63,109,913
40,Saddiq Bey,SF,23,DET,52,30,1500,245,606,0.404,101,293,0.345,144,313,0.46,0.488,180,209,0.861,59,183,242,84,50,12,54,86,771
40,Saddiq Bey,SF,23,ATL,14,2,357,50,105,0.476,29,64,0.453,21,41,0.512,0.614,13,15,0.867,14,40,54,13,10,1,9,23,142
41,Khem Birch,C,30,TOR,20,0,162,19,32,0.594,1,2,0.5,18,30,0.6,0.609,4,5,0.8,8,17,25,7,5,5,8,24,43
42,Goga Bitadze,C,23,TOT,29,0,301,41,79,0.519,5,19,0.263,36,60,0.6,0.551,15,32,0.469,40,44,84,27,12,16,14,45,102
42,Goga Bitadze,C,23,IND,21,0,202,27,52,0.519,4,14,0.286,23,38,0.605,0.558,11,24,0.458,25,24,49,18,9,10,12,34,69
42,Goga Bitadze,C,23,ORL,8,0,99,14,27,0.519,1,5,0.2,13,22,0.591,0.537,4,8,0.5,15,20,35,9,3,6,2,11,33
43,Bismack Biyombo,C,30,PHO,51,10,691,85,151,0.563,0,0,,85,151,0.563,0.563,17,54,0.315,56,144,200,45,15,64,44,91,187
44,Buddy Boeheim,PG,23,DET,6,0,65,4,22,0.182,4,21,0.19,0,1,0,0.273,2,2,1,2,2,4,3,2,0,0,4,14
45,Bogdan Bogdanovi?,SG,30,ATL,45,5,1273,229,522,0.439,122,301,0.405,107,221,0.484,0.556,53,65,0.815,18,124,142,127,37,16,56,75,633
46,Bojan Bogdanovi?,PF,33,DET,59,59,1893,430,882,0.488,145,353,0.411,285,529,0.539,0.57,268,303,0.884,36,187,223,152,34,8,135,113,1273
47,Bol Bol,PF,23,ORL,67,32,1431,250,442,0.566,29,99,0.293,221,343,0.644,0.598,76,100,0.76,66,321,387,61,27,82,106,88,605
48,Leandro Bolmaro,SG,22,UTA,14,0,68,3,20,0.15,0,4,0,3,16,0.188,0.15,0,0,,4,3,7,7,3,1,7,10,6
49,Devin Booker,SG,26,PHO,44,44,1518,453,913,0.496,99,269,0.368,354,644,0.55,0.55,228,271,0.841,39,159,198,241,40,16,112,131,1233
50,Brandon Boston Jr.,SG,21,LAC,21,1,247,51,121,0.421,12,29,0.414,39,92,0.424,0.471,29,38,0.763,7,22,29,19,9,0,12,21,143
51,Chris Boucher,PF,30,TOR,66,0,1309,224,450,0.498,54,164,0.329,170,286,0.594,0.558,112,150,0.747,139,231,370,27,43,55,35,126,614
52,James Bouknight,SG,22,CHO,26,0,354,40,122,0.328,16,64,0.25,24,58,0.414,0.393,15,22,0.682,5,46,51,28,13,4,19,29,111
53,Jamaree Bouyea,PG,23,TOT,5,0,71,6,14,0.429,2,6,0.333,4,8,0.5,0.5,1,2,0.5,1,5,6,4,4,2,4,6,15
53,Jamaree Bouyea,PG,23,MIA,4,0,65,6,13,0.462,2,5,0.4,4,8,0.5,0.538,1,2,0.5,1,4,5,4,4,2,4,5,15
53,Jamaree Bouyea,PG,23,WAS,1,0,6,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,1,0
54,Tony Bradley,C,25,CHI,12,0,33,6,12,0.5,3,5,0.6,3,7,0.429,0.625,4,4,1,1,10,11,1,1,1,1,2,19
55,Malaki Branham,SF,19,SAS,55,21,1256,206,466,0.442,63,199,0.317,143,267,0.536,0.51,44,54,0.815,25,116,141,110,29,7,65,97,519
56,Christian Braun,SG,21,DEN,66,3,955,111,221,0.502,29,72,0.403,82,149,0.55,0.568,30,48,0.625,39,109,148,49,30,16,29,81,281
57,Mikal Bridges,SF,26,TOT,72,72,2590,494,1046,0.472,144,359,0.401,350,687,0.509,0.541,247,276,0.895,70,245,315,242,80,57,106,144,1379
57,Mikal Bridges,SF,26,PHO,56,56,2040,354,764,0.463,101,261,0.387,253,503,0.503,0.529,156,174,0.897,56,187,243,201,65,45,78,115,965
57,Mikal Bridges,SF,26,BRK,16,16,550,140,282,0.496,43,98,0.439,97,184,0.527,0.573,91,102,0.892,14,58,72,41,15,12,28,29,414
58,Oshae Brissett,SF,24,IND,56,1,916,104,262,0.397,43,135,0.319,61,127,0.48,0.479,76,108,0.704,52,138,190,33,29,11,24,70,327
59,Malcolm Brogdon,PG,30,BOS,60,0,1551,310,639,0.485,121,265,0.457,189,374,0.505,0.58,142,162,0.877,37,217,254,217,37,16,91,98,883
60,Dillon Brooks,SF,27,MEM,65,65,1981,347,888,0.391,124,383,0.324,223,505,0.442,0.461,107,135,0.793,41,173,214,167,57,13,92,212,925
61,Bruce Brown,SG,26,DEN,71,28,1997,303,632,0.479,85,233,0.365,218,399,0.546,0.547,82,110,0.745,51,233,284,238,74,43,112,169,773
62,Greg Brown III,PF,21,POR,16,0,93,11,28,0.393,1,7,0.143,10,21,0.476,0.411,5,12,0.417,2,17,19,3,4,5,6,13,28
63,Jaylen Brown,SF,26,BOS,60,60,2170,602,1228,0.49,150,441,0.34,452,787,0.574,0.551,250,324,0.772,74,339,413,203,71,26,176,161,1604
64,Kendall Brown,SG,19,IND,6,0,40,4,7,0.571,0,1,0,4,6,0.667,0.571,1,2,0.5,2,4,6,3,4,0,2,9,9
65,Moses Brown,C,23,LAC,34,1,288,61,96,0.635,0,0,,61,96,0.635,0.635,33,72,0.458,57,82,139,4,3,14,14,38,155
66,Sterling Brown,SG,27,LAL,4,0,24,0,4,0,0,2,0,0,2,0,0,0,0,,3,5,8,2,3,0,0,4,0
67,Troy Brown Jr.,SF,23,LAL,66,42,1635,178,409,0.435,93,247,0.377,85,162,0.525,0.549,32,35,0.914,58,213,271,81,50,11,45,107,481
68,Jalen Brunson,PG,26,NYK,64,64,2234,543,1116,0.487,123,298,0.413,420,818,0.513,0.542,312,373,0.836,37,189,226,395,57,15,127,144,1521
69,Thomas Bryant,C,25,TOT,55,25,1039,220,352,0.625,24,55,0.436,196,297,0.66,0.659,93,126,0.738,84,243,327,31,16,28,36,98,557
69,Thomas Bryant,C,25,LAL,41,25,876,197,301,0.654,22,50,0.44,175,251,0.697,0.691,80,108,0.741,67,212,279,29,14,23,28,77,496
69,Thomas Bryant,C,25,DEN,14,0,163,23,51,0.451,2,5,0.4,21,46,0.457,0.471,13,18,0.722,17,31,48,2,2,5,8,21,61
70,Reggie Bullock,SF,31,DAL,69,46,2108,170,417,0.408,134,351,0.382,36,66,0.545,0.568,26,37,0.703,32,219,251,98,52,13,32,152,500
71,Alec Burks,SG,31,DET,51,8,1122,200,459,0.436,99,239,0.414,101,220,0.459,0.544,153,188,0.814,19,139,158,114,38,8,58,98,652
72,Deonte Burton,SG,29,SAC,2,0,6,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
73,Jared Butler,SG,22,OKC,2,0,19,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,1,1,4,3,0,2,3,5
74,Jimmy Butler,SF,33,MIA,58,58,1932,427,806,0.53,31,93,0.333,396,713,0.555,0.549,430,504,0.853,138,215,353,294,108,21,96,74,1315
75,John Butler,C,20,POR,9,0,30,1,5,0.2,0,4,0,1,1,1,0.2,0,0,,1,1,2,1,1,3,0,2,2
76,Jamal Cain,SF,23,MIA,15,0,186,26,50,0.52,2,12,0.167,24,38,0.632,0.54,12,16,0.75,12,27,39,9,8,0,4,15,66
77,Kentavious Caldwell-Pope,SG,29,DEN,69,69,2188,272,576,0.472,127,293,0.433,145,283,0.512,0.582,92,110,0.836,31,156,187,171,101,31,78,135,763
78,Facundo Campazzo,PG,31,DAL,8,0,52,3,13,0.231,3,11,0.273,0,2,0,0.346,1,2,0.5,0,2,2,9,6,0,3,3,10
79,Vlatko ?an?ar,PF,25,DEN,51,8,802,102,208,0.49,42,105,0.4,60,103,0.583,0.591,30,32,0.938,22,94,116,73,18,12,32,77,276
80,Clint Capela,C,28,ATL,55,53,1464,298,465,0.641,0,1,0,298,464,0.642,0.641,59,101,0.584,229,378,607,48,37,67,45,117,655
81,Vernon Carey Jr.,C,21,WAS,11,0,28,2,8,0.25,0,0,,2,8,0.25,0.25,2,2,1,3,8,11,3,2,2,2,5,6
82,Jevon Carter,PG,27,MIL,71,35,1580,208,486,0.428,120,286,0.42,88,200,0.44,0.551,29,36,0.806,31,151,182,170,64,27,72,142,565
83,Wendell Carter Jr.,C,23,ORL,49,46,1472,285,541,0.527,65,188,0.346,220,353,0.623,0.587,129,174,0.741,111,324,435,118,23,28,102,142,764
84,Alex Caruso,PG,28,CHI,59,28,1417,114,256,0.445,48,133,0.361,66,123,0.537,0.539,56,69,0.812,36,141,177,179,92,38,73,144,332
85,Julian Champagnie,SF,21,TOT,6,0,56,10,21,0.476,7,16,0.438,3,5,0.6,0.643,0,0,,2,8,10,2,1,0,2,4,27
85,Julian Champagnie,SF,21,PHI,2,0,7,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0
85,Julian Champagnie,SF,21,SAS,4,0,49,10,19,0.526,7,15,0.467,3,4,0.75,0.711,0,0,,2,8,10,2,0,0,2,4,27
86,Justin Champagnie,SF,21,TOR,3,0,11,3,3,1,0,0,,3,3,1,1,0,0,,1,3,4,1,0,0,0,1,6
87,Kennedy Chandler,PG,20,MEM,31,0,245,29,71,0.408,2,14,0.143,27,57,0.474,0.423,6,13,0.462,7,25,32,51,11,5,16,13,66
88,Max Christie,SG,19,LAL,38,3,507,44,105,0.419,26,62,0.419,18,43,0.419,0.543,14,16,0.875,7,67,74,19,9,7,13,33,128
89,Josh Christopher,SG,21,HOU,54,1,622,117,256,0.457,19,73,0.26,98,183,0.536,0.494,39,50,0.78,15,46,61,54,23,12,49,53,292
90,Brandon Clarke,PF,26,MEM,56,8,1090,229,349,0.656,1,6,0.167,228,343,0.665,0.658,99,137,0.723,92,218,310,72,34,37,55,131,558
91,Jordan Clarkson,SG,30,UTA,61,61,1988,458,1031,0.444,155,459,0.338,303,572,0.53,0.519,200,245,0.816,72,174,246,270,33,13,186,120,1271
92,Nic Claxton,C,23,BRK,66,66,1949,357,504,0.708,0,2,0,357,502,0.711,0.708,115,220,0.523,159,447,606,118,53,165,84,186,829
93,Amir Coffey,SG,25,LAC,45,9,593,54,141,0.383,10,38,0.263,44,103,0.427,0.418,46,59,0.78,17,35,52,51,7,3,18,50,164
94,John Collins,PF,25,ATL,61,61,1837,307,607,0.506,52,199,0.261,255,408,0.625,0.549,118,143,0.825,65,336,401,72,38,67,71,194,784
95,Zach Collins,C,25,SAS,58,21,1303,250,480,0.521,49,127,0.386,201,353,0.569,0.572,100,129,0.775,107,257,364,163,33,42,117,183,649
96,Mike Conley,PG,35,TOT,58,57,1749,218,519,0.42,112,298,0.376,106,221,0.48,0.528,111,132,0.841,28,127,155,409,64,13,93,115,659
96,Mike Conley,PG,35,UTA,43,42,1276,153,375,0.408,77,213,0.362,76,162,0.469,0.511,78,96,0.813,17,90,107,330,44,10,74,94,461
96,Mike Conley,PG,35,MIN,15,15,473,65,144,0.451,35,85,0.412,30,59,0.508,0.573,33,36,0.917,11,37,48,79,20,3,19,21,198
97,Pat Connaughton,SG,30,MIL,53,31,1301,147,381,0.386,98,292,0.336,49,89,0.551,0.514,27,41,0.659,41,211,252,69,36,9,29,57,419
98,Xavier Cooks,PF,27,WAS,1,0,6,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,1,0,0
99,Robert Covington,PF,32,LAC,39,0,645,80,190,0.421,40,116,0.345,40,74,0.541,0.526,27,36,0.75,25,114,139,48,30,29,23,74,227
100,Torrey Craig,SF,32,PHO,68,55,1728,191,432,0.442,87,223,0.39,104,209,0.498,0.543,31,43,0.721,132,249,381,106,46,49,69,159,500
101,Jae Crowder,SF,32,MIL,11,0,206,22,46,0.478,13,33,0.394,9,13,0.692,0.62,9,11,0.818,11,35,46,15,5,4,4,16,66
102,Jarrett Culver,SG,23,ATL,10,1,137,17,43,0.395,1,12,0.083,16,31,0.516,0.407,9,13,0.692,10,28,38,6,6,2,7,14,44
103,Cade Cunningham,PG,21,DET,12,12,400,93,224,0.415,17,61,0.279,76,163,0.466,0.453,36,43,0.837,12,62,74,72,10,7,39,34,239
104,Seth Curry,SG,32,BRK,53,7,1128,196,422,0.464,90,220,0.409,106,202,0.525,0.571,47,48,0.979,13,83,96,94,35,7,48,87,529
105,Stephen Curry,PG,34,GSW,47,47,1633,471,946,0.498,234,541,0.433,237,405,0.585,0.622,225,246,0.915,33,259,292,291,45,17,157,104,1401
106,Dyson Daniels,PG,19,NOP,49,11,912,75,177,0.424,22,73,0.301,53,104,0.51,0.486,22,35,0.629,30,130,160,119,37,11,51,87,194
107,Anthony Davis,C,29,LAL,46,44,1546,443,792,0.559,18,68,0.265,425,724,0.587,0.571,284,356,0.798,155,420,575,116,47,96,108,124,1188
108,Johnny Davis,SG,20,WAS,17,0,119,15,37,0.405,1,8,0.125,14,29,0.483,0.419,4,7,0.571,2,15,17,3,1,2,4,18,35
109,Terence Davis,SG,25,SAC,56,4,737,133,307,0.433,74,199,0.372,59,108,0.546,0.554,32,38,0.842,18,110,128,61,40,12,47,95,372
110,JD Davison,PG,20,BOS,8,0,19,3,11,0.273,0,3,0,3,8,0.375,0.273,0,0,,1,4,5,3,2,0,1,2,6
111,Darius Days,PF,23,HOU,4,0,25,5,12,0.417,3,10,0.3,2,2,1,0.542,2,2,1,1,5,6,1,0,1,0,2,15
112,Dewayne Dedmon,C,33,TOT,33,0,364,68,133,0.511,11,37,0.297,57,96,0.594,0.553,32,46,0.696,28,86,114,18,8,14,20,64,179
112,Dewayne Dedmon,C,33,MIA,30,0,350,64,129,0.496,11,37,0.297,53,92,0.576,0.539,32,44,0.727,28,81,109,16,7,14,19,61,171
112,Dewayne Dedmon,C,33,PHI,3,0,14,4,4,1,0,0,,4,4,1,1,0,2,0,0,5,5,2,1,0,1,3,8
113,Matthew Dellavedova,PG,32,SAC,29,0,185,14,44,0.318,8,24,0.333,6,20,0.3,0.409,4,7,0.571,1,10,11,36,6,0,10,17,40
114,DeMar DeRozan,SF,33,CHI,65,65,2389,597,1167,0.512,39,115,0.339,558,1052,0.53,0.528,420,483,0.87,31,277,308,330,72,33,140,172,1653
115,Moussa Diabat?,PF,21,LAC,18,1,172,21,40,0.525,1,2,0.5,20,38,0.526,0.538,10,16,0.625,29,16,45,3,5,6,9,13,53
116,Mamadi Diakite,PF,26,CLE,18,2,120,13,33,0.394,4,15,0.267,9,18,0.5,0.455,0,0,,5,13,18,4,2,7,8,18,30
117,Hamidou Diallo,SG,24,DET,56,0,996,215,375,0.573,5,21,0.238,210,354,0.593,0.58,87,148,0.588,57,137,194,55,53,16,71,124,522
118,Gorgui Dieng,C,33,SAS,24,1,235,27,75,0.36,12,50,0.24,15,25,0.6,0.44,5,6,0.833,22,42,64,34,4,10,20,36,71
119,Ousmane Dieng,SF,19,OKC,28,0,443,59,140,0.421,22,76,0.289,37,64,0.578,0.5,10,17,0.588,14,68,82,31,11,6,17,34,150
120,Spencer Dinwiddie,PG,29,TOT,69,69,2367,409,920,0.445,167,439,0.38,242,481,0.503,0.535,235,288,0.816,25,201,226,407,59,22,129,166,1220
120,Spencer Dinwiddie,PG,29,DAL,53,53,1808,316,694,0.455,138,341,0.405,178,353,0.504,0.555,170,207,0.821,19,144,163,279,39,16,90,124,940
120,Spencer Dinwiddie,PG,29,BRK,16,16,559,93,226,0.412,29,98,0.296,64,128,0.5,0.476,65,81,0.802,6,57,63,128,20,6,39,42,280
121,Donte DiVincenzo,SG,26,GSW,63,28,1673,202,476,0.424,134,335,0.4,68,141,0.482,0.565,48,57,0.842,66,211,277,216,83,10,93,119,586
122,Luka Don?i?,PG,23,DAL,57,57,2068,629,1257,0.5,158,453,0.349,471,804,0.586,0.563,463,629,0.736,48,443,491,458,83,28,209,148,1879
123,Tyler Dorsey,SG,26,DAL,3,0,8,4,5,0.8,1,2,0.5,3,3,1,0.9,0,0,,1,1,2,0,0,0,0,0,9
124,Luguentz Dort,SG,23,OKC,64,63,1943,302,755,0.4,122,354,0.345,180,401,0.449,0.481,172,220,0.782,97,181,278,141,65,20,83,206,898
125,Ayo Dosunmu,SG,23,CHI,69,50,1847,247,498,0.496,51,163,0.313,196,335,0.585,0.547,60,74,0.811,43,156,199,181,51,24,88,166,605
126,Devon Dotson,PG,23,WAS,6,0,53,1,10,0.1,1,4,0.25,0,6,0,0.15,0,0,,6,4,10,8,5,0,3,9,3
127,Jeff Dowtin,PG,25,TOR,18,0,159,19,43,0.442,3,11,0.273,16,32,0.5,0.477,3,4,0.75,6,11,17,17,4,1,5,10,44
128,PJ Dozier,SG,26,SAC,9,0,18,3,8,0.375,1,5,0.2,2,3,0.667,0.438,0,0,,0,5,5,0,3,0,1,2,7
129,Goran Dragi?,PG,36,CHI,51,0,787,127,299,0.425,45,128,0.352,82,171,0.48,0.5,27,41,0.659,13,56,69,139,11,4,56,63,326
130,Andre Drummond,C,29,CHI,58,0,734,142,234,0.607,0,2,0,142,232,0.612,0.607,56,104,0.538,117,261,378,31,38,20,67,109,340
131,Chris Duarte,SF,25,IND,45,12,892,123,331,0.372,55,173,0.318,68,158,0.43,0.455,61,72,0.847,19,96,115,63,24,9,40,65,362
132,David Duke Jr.,SG,23,BRK,18,0,173,28,61,0.459,1,8,0.125,27,53,0.509,0.467,5,9,0.556,8,12,20,16,7,1,14,27,62
133,Kris Dunn,PG,28,UTA,11,0,251,52,100,0.52,10,22,0.455,42,78,0.538,0.57,15,18,0.833,6,41,47,59,15,6,15,33,129
