Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving,Duke,12,664,22770,15542,2609,3793,0.472,0.392,0.884,34.3,23.4,3.9,5.7,78.4,0.165,4.5,37.2
2,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-1.6,0.8
3,3,UTA,Enes Freedom,,11,748,16101,8349,5822,638,0.548,0.289,0.777,21.5,11.2,7.8,0.9,52.8,0.157,-0.1,7.6
4,4,CLE,Tristan Thompson,Texas,11,730,19556,6592,6120,725,0.519,0.263,0.605,26.8,9,8.4,1,47.6,0.117,-1.7,1.4
5,5,TOR,Jonas Valanciunas,,11,763,19818,10283,7230,936,0.562,0.356,0.789,26,13.5,9.5,1.2,72.3,0.175,1,14.9
6,6,WAS,Jan Vesel�,,3,162,2455,590,562,96,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,-2.6,-0.4
7,7,SAC,Bismack Biyombo,,12,789,15410,4001,4682,487,0.532,0,0.556,19.5,5.1,5.9,0.6,30.5,0.095,-2.6,-2.2
8,8,DET,Brandon Knight,Kentucky,9,451,13202,6301,1385,1777,0.411,0.352,0.807,29.3,14,3.1,3.9,11.6,0.042,-1.6,1.4
9,9,CHA,Kemba Walker,UConn,12,750,24810,14486,2831,3938,0.418,0.36,0.84,33.1,19.3,3.8,5.3,59.9,0.116,2.8,29.8
10,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-2.5,-0.4
11,11,GSW,Klay Thompson,Washington State,10,708,23290,13989,2510,1652,0.456,0.415,0.852,32.9,19.8,3.5,2.3,51.1,0.105,0.7,15.7
12,12,UTA,Alec Burks,Colorado,12,676,15501,7301,2368,1378,0.419,0.384,0.801,22.9,10.8,3.5,2,28.6,0.089,-0.4,6.2
13,13,PHO,Markieff Morris,Kansas,12,747,18033,7928,3776,1179,0.446,0.343,0.778,24.1,10.6,5.1,1.6,27.5,0.073,-1.4,2.8
14,14,HOU,Marcus Morris,Kansas,12,780,21199,9634,3545,1192,0.435,0.377,0.773,27.2,12.4,4.5,1.5,38.6,0.087,-0.6,7.2
15,15,IND,Kawhi Leonard,San Diego State,11,619,19472,12108,3961,1837,0.495,0.387,0.86,31.5,19.6,6.4,3,89.3,0.22,6.8,43.4
16,16,PHI,Nikola Vucevic,USC,12,812,25302,13814,8536,2271,0.495,0.349,0.762,31.2,17,10.5,2.8,66,0.125,2.2,27.1
17,17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,0.391,0.337,0.764,24.9,7.2,3.3,1.8,12.9,0.054,-1.7,0.9
18,18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-3.2,-0.8
19,19,CHA,Tobias Harris,Tennessee,12,819,25801,13291,5044,1889,0.477,0.369,0.83,31.5,16.2,6.2,2.3,63.6,0.118,1,19.7
20,20,MIN,Donatas Motiejunas,,6,251,4566,1832,952,269,0.469,0.3,0.597,18.2,7.3,3.8,1.1,7.1,0.075,-2.5,-0.5
21,21,POR,Nolan Smith,Duke,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6,-0.8
