,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,5,317,10431,4673,2480,2383,0.56,0.139,0.591,32.9,14.7,7.8,7.5,32.6,0.15,3.3,14.1
2,2,LAL,Brandon Ingram,Duke,7,402,13209,7602,2062,1582,0.462,0.363,0.778,32.9,18.9,5.1,3.9,20.3,0.074,-0.3,5.8
3,3,BOS,Jaylen Brown,California,7,463,13729,8248,2407,1025,0.476,0.367,0.724,29.7,17.8,5.2,2.2,29.2,0.102,0.3,8
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,7,256,6148,2124,862,1088,0.425,0.307,0.744,24,8.3,3.4,4.3,4.8,0.038,-1.9,0.2
6,6,NOP,Buddy Hield,Oklahoma,7,540,15958,8697,2363,1375,0.433,0.402,0.859,29.6,16.1,4.4,2.5,21.1,0.063,0.3,9.4
7,7,DEN,Jamal Murray,Kentucky,6,403,12300,6806,1487,1674,0.446,0.372,0.869,30.5,16.9,3.7,4.2,25.2,0.098,0.4,7.4
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,0.456,0.29,0.667,18.3,7.6,4.7,1,6.5,0.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,7,478,10062,3832,3090,783,0.628,0.5,0.538,21.1,8,6.5,1.6,34.1,0.163,1.2,8.2
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,0.435,0.327,0.68,13.8,4.6,2.8,0.6,6.6,0.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,7,484,14205,7278,4677,1989,0.545,0.323,0.736,29.3,15,9.7,4.1,45.7,0.155,2.4,15.9
12,12,UTA,Taurean Prince,Baylor,7,417,9963,4320,1556,723,0.422,0.373,0.817,23.9,10.4,3.7,1.7,9.5,0.046,-1.9,0.3
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,0.514,0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7,3.3,1.8,4.5,0.044,-1.9,0.2
15,15,DEN,Juancho Hernang?mez,,7,339,5269,1711,1131,216,0.428,0.342,0.676,15.5,5,3.3,0.6,8.7,0.079,-1.9,0.1
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3
19,19,DEN,Malik Beasley,Florida State,7,407,8922,4413,1080,532,0.422,0.378,0.814,21.9,10.8,2.7,1.3,11.7,0.063,-1.1,2
20,20,IND,Caris LeVert,Michigan,7,385,10774,5448,1478,1523,0.435,0.34,0.735,28,14.2,3.8,4,15.6,0.069,-0.5,4
21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,0.474,0.283,0.611,19.2,5.9,3.2,1.8,4.4,0.038,-2.3,-0.4
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7
23,23,BOS,Ante ?i?i?,,3,113,1517,674,446,64,0.581,,0.711,13.4,6,3.9,0.6,3.5,0.11,-2.6,-0.2
24,24,PHI,Timoth? Luwawu-Cabarrot,,6,328,5254,1937,656,293,0.391,0.335,0.829,16,5.9,2,0.9,4.7,0.043,-4,-2.7
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0
26,26,PHI,Furkan Korkmaz,,6,285,5067,2119,604,363,0.405,0.354,0.76,17.8,7.4,2.1,1.3,7.1,0.067,-1.9,0.1
27,27,TOR,Pascal Siakam,New Mexico State,7,462,14104,7783,3004,1609,0.486,0.33,0.771,30.5,16.8,6.5,3.5,39.4,0.134,1.9,13.9
