,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Blake Griffin,Oklahoma,13,758,24303,14495,6080,3038,0.493,0.328,0.696,32.1,19.1,8,4,80.8,0.159,3.3,32.7
2,2,MEM,Hasheem Thabeet,UConn,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-2.7,-0.4
3,3,OKC,James Harden,Arizona State,14,995,34575,24610,5630,6972,0.442,0.363,0.86,34.7,24.7,5.7,7,157.7,0.219,6.7,75.8
4,4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,0.8,13.1
5,5,MIN,Ricky Rubio,,12,689,20539,7535,2818,5128,0.389,0.325,0.842,29.8,10.9,4.1,7.4,42.3,0.099,0.6,13.5
6,6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4,-1.9
7,7,GSW,Stephen Curry,Davidson,14,873,29994,21465,4130,5679,0.475,0.428,0.909,34.4,24.6,4.7,6.5,126.7,0.203,6.6,65
8,8,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
9,9,TOR,DeMar DeRozan,USC,14,1022,35178,21522,4535,4059,0.468,0.292,0.84,34.4,21.1,4.4,4,91.6,0.125,0.8,25.1
10,10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,0.387,0.345,0.796,30.3,14.1,3,5.7,29.9,0.085,0.8,11.8
11,11,NJN,Terrence Williams,Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-2.8,-0.6
12,12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,-1.8,0.6
13,13,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2,0
14,14,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9,0.038,-2.8,-0.8
15,15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2,0
16,16,CHI,James Johnson,Wake Forest,14,761,15439,5798,2697,1593,0.474,0.302,0.679,20.3,7.6,3.5,2.1,27.5,0.086,0.4,9.4
17,17,PHI,Jrue Holiday,UCLA,14,898,29765,14721,3661,5804,0.461,0.365,0.782,33.1,16.4,4.1,6.5,62.3,0.1,1.6,27
18,18,MIN,Ty Lawson,UNC,8,551,16088,6977,1506,3316,0.46,0.359,0.77,29.2,12.7,2.7,6,42.1,0.126,1.4,13.6
19,19,ATL,Jeff Teague,Wake Forest,12,826,22164,10061,1989,4585,0.444,0.36,0.844,26.8,12.2,2.4,5.6,52.4,0.113,0.6,14.3
20,20,UTA,Eric Maynor,VCU,5,267,3896,1141,348,760,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,-2.9,-0.8
21,21,NOH,Darren Collison,UCLA,11,711,20833,8861,1889,3545,0.471,0.394,0.853,29.3,12.5,2.7,5,49.9,0.115,0.5,13.4
22,22,POR,Victor Claver,,3,80,1072,258,178,56,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.6,-0.4
23,23,SAC,Omri Casspi,,10,588,11959,4642,2355,662,0.454,0.368,0.678,20.3,7.9,4,1.1,19.6,0.078,-0.8,3.5
24,24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4,-1.8
25,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4
26,26,CHI,Taj Gibson,USC,14,941,22407,8238,5565,912,0.518,0.253,0.712,23.8,8.8,5.9,1,59.7,0.128,-0.8,7.1
27,27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,0.43,0.358,0.741,23.7,8.9,4.2,1.3,29.5,0.104,0,6.7
28,28,MIN,Wayne Ellington,UNC,13,770,16100,6190,1643,852,0.41,0.382,0.843,20.9,8,2.1,1.1,21.1,0.063,-1.5,2.1
29,29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,0.077,-0.8,2.2
30,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.2,-0.6
31,31,SAC,Jeff Ayres,Arizona State,6,237,2322,690,632,99,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-2.3,-0.2
32,32,WAS,Jermaine Taylor,Central Florida,2,65,786,351,108,48,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014,-3.7,-0.3
33,33,POR,Dante Cunningham,Villanova,10,715,14875,4133,2676,506,0.469,0.345,0.649,20.8,5.8,3.7,0.7,24.9,0.08,-1.7,1.1
34,34,DEN,Sergio Llull,,,,,,,,,,,,,,,,,,
35,35,DET,DaJuan Summers,Georgetown,4,83,820,278,82,29,0.384,0.367,0.642,9.9,3.3,1,0.3,-0.1,-0.008,-5.8,-0.8
36,36,MEM,Sam Young,Pitt,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.1,-0.1
37,37,SAS,DeJuan Blair,Pitt,7,424,7054,2865,2153,349,0.524,0,0.608,16.6,6.8,5.1,0.8,19,0.129,-1.2,1.4
38,38,POR,Jon Brockman,Washington,3,150,1570,320,472,49,0.488,0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-3.9,-0.8
39,39,DET,Jonas Jerebko,,9,635,11323,3919,2522,525,0.457,0.363,0.77,17.8,6.2,4,0.8,25.8,0.109,-1,2.9
40,40,CHA,Derrick Brown,Xavier,3,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.3,0.4
41,41,MIL,Jodie Meeks,Kentucky,10,539,12110,4988,1120,583,0.42,0.373,0.879,22.5,9.3,2.1,1.1,24.3,0.096,-0.6,4.2
42,42,LAL,Patrick Beverley,Arkansas,11,583,15976,5019,2457,2003,0.413,0.375,0.754,27.4,8.6,4.2,3.4,37,0.111,0.9,11.6
43,43,MIA,Marcus Thornton,LSU,8,483,11299,5750,1348,677,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20,0.085,0.2,6.2
44,44,DET,Chase Budinger,Arizona,7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-0.5,2.9
45,45,MIN,Nick Calathes,Florida,2,129,2011,590,243,353,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.5,0.8
46,46,CLE,Danny Green,UNC,14,828,20831,7170,2818,1272,0.421,0.4,0.805,25.2,8.7,3.4,1.5,49.1,0.113,1.9,20.2
47,47,MIN,Henk Norel,,,,,,,,,,,,,,,,,,
48,48,PHO,Taylor Griffin,Oklahoma,1,8,32,10,2,1,0.4,0,0.5,4,1.3,0.3,0.1,0,-0.039,-8.1,-0.1
49,49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,,,
50,50,UTA,Goran Suton,Michigan State,,,,,,,,,,,,,,,,,
51,51,SAS,Jack McClinton,Miami (FL),,,,,,,,,,,,,,,,,
52,52,IND,A.J. Price,UConn,6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-1.3,0.7
53,53,SAS,Nando De Colo,,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.7,0.5
54,54,CHA,Robert Vaden,UAB,,,,,,,,,,,,,,,,,
55,55,POR,Patty Mills,Saint Mary's,14,858,17528,7750,1432,1946,0.426,0.389,0.856,20.4,9,1.7,2.3,35.8,0.098,0,9
56,56,DAL,Ahman Nivins,Saint Joseph's,,,,,,,,,,,,,,,,,
57,57,PHO,Emir Preld?i?,,,,,,,,,,,,,,,,,,
58,58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.1,0
59,59,LAL,Chinemelu Elonu,Texas A&M,,,,,,,,,,,,,,,,,
60,60,MIA,Robert Dozier,Memphis,,,,,,,,,,,,,,,,,
