,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
50,50,ATL,Skylar Mays,LSU,2,61,489,204,60,47,0.469,0.338,0.882,8,3.3,1,0.8,1.1,0.104,0.1,0.3
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,Kenyon Martin Jr.,,3,196,4699,2003,940,258,0.541,0.338,0.672,24,10.2,4.8,1.3,9.3,0.095,-1.1,1.1
53,53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,0.409,0.435,0.9,4.7,1.9,0.3,0.7,0.1,0.051,-4.9,-0.1
54,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,0.36,0.233,0.895,7.5,2.7,1.2,0.2,0,-0.006,-7.9,-0.4
55,55,BRK,Jay Scrubb,John A. Logan College,2,22,205,84,30,9,0.39,0.267,0.8,9.3,3.8,1.4,0.4,-0.1,-0.028,-7.3,-0.3
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,0.667,0.5,,3.9,2.6,0.1,0.4,0.1,0.177,5.1,0
57,57,LAC,Reggie Perry,Mississippi State,2,36,398,170,120,26,0.459,0.189,0.679,11.1,4.7,3.3,0.7,0.4,0.048,-5.5,-0.3
58,58,PHI,Paul Reed,DePaul,3,122,1072,410,353,47,0.563,0.111,0.627,8.8,3.4,2.9,0.4,3.9,0.175,-0.3,0.5
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,0.5,0.472,0.778,13.2,7.4,1.4,1.3,0.3,0.079,0.3,0.1
60,60,NOP,Sam Merrill,Utah State University,3,38,299,116,37,25,0.414,0.389,0.75,7.9,3.1,1,0.7,0.5,0.083,-2.3,0
