,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,3,215,7338,4680,1096,801,0.441,0.353,0.775,34.1,21.8,5.1,3.7,8.7,0.057,0.1,3.9
2,2,GSW,James Wiseman,Memphis,2,74,1474,786,429,49,0.546,0.308,0.649,19.9,10.6,5.8,0.7,2,0.065,-3.9,-0.7
3,3,CHO,LaMelo Ball,,3,162,5159,3149,1034,1188,0.426,0.377,0.828,31.8,19.4,6.4,7.3,10.5,0.098,2.7,6.1
4,4,CHI,Patrick Williams,Florida State,3,159,4437,1526,688,204,0.479,0.414,0.78,27.9,9.6,4.3,1.3,6.4,0.07,-1.8,0.2
5,5,CLE,Isaac Okoro,Auburn,3,207,5747,1709,589,333,0.459,0.328,0.748,27.8,8.3,2.8,1.6,9.3,0.077,-2.6,-0.8
6,6,ATL,Onyeka Okongwu,USC,3,167,3215,1281,945,141,0.654,0.2,0.723,19.3,7.7,5.7,0.8,12,0.18,0.2,1.8
7,7,DET,Killian Hayes,,3,158,4121,1268,460,822,0.374,0.275,0.784,26.1,8,2.9,5.2,-1.2,-0.014,-4.3,-2.4
8,8,NYK,Obi Toppin,Dayton,3,192,2745,1260,566,150,0.489,0.315,0.759,14.3,6.6,2.9,0.8,6.7,0.117,0.3,1.6
9,9,WAS,Deni Avdija,,3,205,5025,1617,1117,405,0.425,0.307,0.742,24.5,7.9,5.4,2,5.8,0.055,-2.3,-0.4
10,10,PHO,Jalen Smith,Maryland,3,138,2191,1081,688,86,0.481,0.294,0.766,15.9,7.8,5,0.6,4.9,0.107,-1.7,0.1
11,11,SAS,Devin Vassell,Florida State,3,169,4115,1891,619,320,0.429,0.368,0.82,24.3,11.2,3.7,1.9,6.3,0.073,-0.5,1.6
12,12,SAC,Tyrese Haliburton,Iowa State,3,189,6263,3055,682,1500,0.478,0.409,0.856,33.1,16.2,3.6,7.9,18.1,0.139,3.6,8.9
13,13,NOP,Kira Lewis Jr.,Alabama,3,99,1464,588,143,191,0.399,0.317,0.843,14.8,5.9,1.4,1.9,1.2,0.038,-3.3,-0.5
14,14,BOS,Aaron Nesmith,Vanderbilt,3,161,2802,1044,456,125,0.423,0.339,0.835,17.4,6.5,2.8,0.8,3.3,0.056,-3.3,-1
15,15,ORL,Cole Anthony,UNC,3,164,4657,2321,807,764,0.406,0.341,0.858,28.4,14.2,4.9,4.7,4.7,0.048,-1.2,1
16,16,POR,Isaiah Stewart,Washington,3,189,4685,1693,1473,211,0.501,0.328,0.721,24.8,9,7.8,1.1,9.5,0.097,-2.2,-0.3
17,17,MIN,Aleksej Pokusevski,,3,137,3000,1104,687,290,0.39,0.303,0.696,21.9,8.1,5,2.1,-0.5,-0.007,-3.1,-0.9
18,18,DAL,Josh Green,Arizona,3,158,2819,918,392,200,0.514,0.367,0.688,17.8,5.8,2.5,1.3,5.4,0.091,-2,0
19,19,BRK,Saddiq Bey,Villanova,3,218,6470,3091,1055,425,0.403,0.362,0.843,29.7,14.2,4.8,1.9,10.4,0.077,-0.5,2.5
20,20,MIA,Precious Achiuwa,Memphis,3,181,3466,1392,961,157,0.47,0.318,0.602,19.1,7.7,5.3,0.9,5.5,0.076,-3,-0.9
21,21,PHI,Tyrese Maxey,Kentucky,3,188,5309,2840,488,623,0.477,0.405,0.857,28.2,15.1,2.6,3.3,13.5,0.122,0,2.7
22,22,DEN,Zeke Nnaji,Arizona,3,128,1690,633,319,39,0.529,0.402,0.664,13.2,4.9,2.5,0.3,4.2,0.119,-2.4,-0.2
23,23,NYK,Leandro Bolmaro,,2,49,309,56,50,28,0.27,0.227,0.846,6.3,1.1,1,0.6,-0.3,-0.048,-7.8,-0.5
24,24,MIL,R.J. Hampton,,3,152,2845,1065,437,291,0.41,0.344,0.686,18.7,7,2.9,1.9,0.9,0.016,-3.6,-1.1
25,25,OKC,Immanuel Quickley,Kentucky,3,214,5092,2599,679,631,0.412,0.362,0.864,23.8,12.1,3.2,2.9,12.9,0.121,0.8,3.5
26,26,BOS,Payton Pritchard,Oregon,3,182,2832,1165,360,306,0.426,0.395,0.889,15.6,6.4,2,1.7,5.8,0.099,-0.6,1
27,27,UTA,Udoka Azubuike,Kansas,3,59,423,159,148,7,0.763,,0.548,7.2,2.7,2.5,0.1,1.3,0.149,-0.8,0.1
28,28,LAL,Jaden McDaniels,Washington,3,203,5471,1919,800,287,0.481,0.358,0.738,27,9.5,3.9,1.4,7.9,0.069,-2.4,-0.5
29,29,TOR,Malachi Flynn,San Diego State,3,137,2063,751,247,272,0.376,0.338,0.74,15.1,5.5,1.8,2,2.4,0.055,-2.6,-0.3
30,30,BOS,Desmond Bane,TCU,3,193,5319,3042,794,533,0.465,0.425,0.884,27.6,15.8,4.1,2.8,14.8,0.133,1.9,5.2
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,0.353,0,0.333,4.5,1,0.5,0.5,0,-0.035,-4.8,0
32,32,CHO,Vernon Carey Jr.,Duke,3,37,187,72,50,5,0.474,0.143,0.654,5.1,1.9,1.4,0.1,0.2,0.059,-6.3,-0.2
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,0.431,0.167,0.706,5.7,1.9,1.6,0.3,0.3,0.086,-5.2,-0.2
34,34,PHI,Th?o Maledon,,3,152,3267,1219,428,424,0.377,0.323,0.787,21.5,8,2.8,2.8,0.4,0.005,-4.2,-1.8
35,35,SAC,Xavier Tillman Sr.,Michigan State,3,164,2735,980,665,217,0.539,0.279,0.611,16.7,6,4.1,1.3,8,0.14,0.7,1.9
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6,3.9,1,1.1,0.2,0,-0.033,-9.5,-0.1
37,37,WAS,Vit Krejci,,2,53,814,215,115,69,0.403,0.319,0.833,15.4,4.1,2.2,1.3,0.6,0.038,-5.1,-0.6
38,38,UTA,Saben Lee,Vanderbilt,3,107,1687,592,221,336,0.432,0.282,0.739,15.8,5.5,2.1,3.1,3,0.084,-1.5,0.2
39,39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,0.328,0.28,0.769,9.2,2.9,1.2,0.5,-0.4,-0.039,-6.4,-0.5
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,0.278,0.2,0.5,3.5,1.1,1.1,0.2,-0.1,-0.077,-7.7,-0.1
41,41,SAS,Tre Jones,Duke,3,164,3107,1230,376,634,0.459,0.253,0.843,18.9,7.5,2.3,3.9,5.6,0.086,-1.4,0.5
42,42,NOP,Nick Richards,Kentucky,3,126,1486,624,448,47,0.629,0,0.739,11.8,5,3.6,0.4,4.5,0.147,-2,0
43,43,SAC,Jahmi'us Ramsey,Texas Tech,2,32,228,100,23,13,0.406,0.27,0.632,7.1,3.1,0.7,0.4,-0.1,-0.023,-5.9,-0.2
44,44,CHI,Marko Simonovic,,2,12,40,17,10,0,0.25,0.167,0.727,3.3,1.4,0.8,0,0,-0.034,-12.4,-0.1
45,45,MIL,Jordan Nwora,Louisville,3,144,2373,1051,462,137,0.417,0.384,0.795,16.5,7.3,3.2,1,2.2,0.045,-2.9,-0.5
46,46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,0.39,0.275,0.717,15.5,4.6,2.9,1.1,0.5,0.018,-5.2,-1.1
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-3.9,-0.2
49,49,PHI,Isaiah Joe,Arkansas,3,159,2133,924,239,128,0.413,0.397,0.836,13.4,5.8,1.5,0.8,4.5,0.101,-0.9,0.6
