,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3
2,2,ORL,Victor Oladipo,Indiana,10,500,16156,8438,2238,1953,0.436,0.346,0.789,32.3,16.9,4.5,3.9,25.7,0.076,0.7,10.9
3,3,WAS,Otto Porter Jr.,Georgetown,10,512,13226,5380,2570,775,0.478,0.397,0.797,25.8,10.5,5,1.5,36.5,0.132,1.8,12.6
4,4,CHA,Cody Zeller,Indiana,10,504,11103,4249,2984,697,0.52,0.219,0.731,22,8.4,5.9,1.4,32.4,0.14,-0.6,4
5,5,PHO,Alex Len,Maryland,10,588,10827,4384,3358,495,0.507,0.327,0.683,18.4,7.5,5.7,0.8,21.5,0.095,-2,0.1
6,6,NOH,Nerlens Noel,Kentucky,9,467,10281,3338,2835,501,0.546,0.2,0.655,22,7.1,6.1,1.1,28.3,0.132,0.9,7.4
7,7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,0.414,0.363,0.78,22.5,9,2.3,1,9,0.035,-3.1,-3.4
8,8,DET,Kentavious Caldwell-Pope,Georgia,10,752,22162,8674,2335,1321,0.425,0.366,0.815,29.5,11.5,3.1,1.8,39,0.084,-0.8,6.7
9,9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,0.41,0.345,0.81,20.9,9.6,1.8,3.1,12.9,0.06,-1.3,1.7
10,10,POR,CJ McCollum,Lehigh,10,654,20875,12690,2323,2425,0.453,0.395,0.807,31.9,19.4,3.6,3.7,43.6,0.1,1.3,17.3
11,11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,0.402,0.255,0.706,25.3,10.3,4.4,4.4,6.6,0.032,-1.2,1.9
12,12,OKC,Steven Adams,Pitt,10,706,18944,6518,5788,1079,0.587,0.067,0.536,26.8,9.2,8.2,1.5,59.4,0.15,0.5,12.1
13,13,DAL,Kelly Olynyk,Gonzaga,10,669,15076,6861,3426,1451,0.478,0.368,0.791,22.5,10.3,5.1,2.2,39.1,0.124,0.8,10.7
14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-2,0
15,15,MIL,Giannis Antetokounmpo,,10,712,23174,16071,6813,3332,0.536,0.288,0.709,32.5,22.6,9.6,4.7,95.2,0.197,6.2,47.9
16,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,0.632,0.265,0.64,12.4,3.2,2.8,0.5,6,0.165,2.3,1.9
17,17,ATL,Dennis Schröder,,10,679,18217,9545,1974,3174,0.434,0.337,0.837,26.8,14.1,2.9,4.7,25.8,0.068,-1.4,2.9
18,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,-2.4,-0.6
19,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,0.395,0.282,0.842,11.7,3,1.5,0.9,0.8,0.036,-3.4,-0.4
20,20,CHI,Tony Snell,New Mexico,9,601,13093,3672,1371,669,0.431,0.394,0.846,21.8,6.1,2.3,1.1,18.5,0.068,-2,-0.1
21,21,UTA,Gorgui Dieng,Louisville,10,621,12502,4541,3491,818,0.497,0.355,0.791,20.1,7.3,5.6,1.3,30.7,0.118,0.3,7.2
22,22,BRK,Mason Plumlee,Duke,10,730,16631,6278,5025,1839,0.594,0.049,0.567,22.8,8.6,6.9,2.5,51.5,0.149,1.4,14.3
23,23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,0.388,0.331,0.797,21.5,5.5,3.1,1.5,11.9,0.059,-2.1,-0.3
24,24,NYK,Tim Hardaway Jr.,Michigan,10,651,17797,9058,1881,1208,0.419,0.36,0.808,27.3,13.9,2.9,1.9,27.7,0.075,-0.9,4.8
