,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,8,503,17181,11606,5637,1597,0.527,0.393,0.835,34.2,23.1,11.2,3.2,68.2,0.19,4.8,29.2
2,2,LAL,D'Angelo Russell,Ohio State,8,488,14556,8650,1701,2768,0.425,0.361,0.791,29.8,17.7,3.5,5.7,18.9,0.062,0.7,9.8
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2,0
4,4,NYK,Kristaps Porzi??is,,7,397,12349,7740,3158,693,0.45,0.357,0.826,31.1,19.5,8,1.7,34,0.132,2,12.5
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,0.544,0.188,0.612,22,8.7,5.9,1.4,23.3,0.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,0.391,0.305,0.748,19.8,6.2,3.1,1.5,7,0.038,-2.7,-1.6
9,9,CHO,Frank Kaminsky,Wisconsin,8,410,8137,3621,1572,647,0.43,0.349,0.746,19.8,8.8,3.8,1.6,15.8,0.093,-0.2,3.6
10,10,MIA,Justise Winslow,Duke,8,344,8905,2829,1760,889,0.412,0.315,0.638,25.9,8.2,5.1,2.6,8.3,0.045,-2.1,-0.3
11,11,IND,Myles Turner,Texas,8,491,14151,6562,3332,599,0.497,0.354,0.772,28.8,13.4,6.8,1.2,38.2,0.13,0.8,10
12,12,UTA,Trey Lyles,Kentucky,8,512,9280,4001,2202,538,0.445,0.344,0.746,18.1,7.8,4.3,1.1,17,0.088,-0.9,2.4
13,13,PHO,Devin Booker,Kentucky,8,521,17590,12450,2063,2469,0.46,0.358,0.867,33.8,23.9,4,4.7,34.9,0.095,0.9,12.7
14,14,OKC,Cameron Payne,Murray State,8,318,5830,2560,715,1088,0.42,0.364,0.815,18.3,8.1,2.2,3.4,9.1,0.075,-0.5,2.2
15,15,ATL,Kelly Oubre Jr.,Kansas,8,526,13596,6733,2320,536,0.434,0.33,0.751,25.8,12.8,4.4,1,19.3,0.068,-1.7,0.8
16,16,BOS,Terry Rozier,Louisville,8,539,14649,7363,2121,1826,0.417,0.368,0.819,27.2,13.7,3.9,3.4,25.8,0.085,0.4,8.9
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606,15.4,5.4,3,0.8,5.4,0.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5
20,20,TOR,Delon Wright,Utah,8,453,9583,3235,1455,1408,0.455,0.354,0.806,21.2,7.1,3.2,3.1,26,0.13,2.3,10.4
21,21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,0.072,-1.5,0.4
22,22,CHI,Bobby Portis,Arkansas,8,513,11395,5848,3569,633,0.474,0.378,0.761,22.2,11.4,7,1.2,25.8,0.109,-0.4,4.6
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,8,526,10084,3547,971,2043,0.437,0.358,0.815,19.2,6.7,1.8,3.9,24.4,0.116,0.6,6.6
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,8,450,10697,3608,2883,847,0.537,0.335,0.687,23.8,8,6.4,1.9,28.6,0.128,1.1,8.5
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,8,440,7734,2249,2415,675,0.583,0.169,0.603,17.6,5.1,5.5,1.5,28,0.174,0.3,4.4
31,31,MIN,Cedi Osman,,6,395,9400,3867,1211,802,0.427,0.351,0.714,23.8,9.8,3.1,2,10.2,0.052,-2.2,-0.4
32,32,HOU,Montrezl Harrell,Louisville,8,509,10490,6183,2569,673,0.619,0.114,0.663,20.6,12.1,5,1.3,42.7,0.195,2.6,12.2
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6
35,35,PHI,Willy Hernang?mez,,7,340,5132,2511,1973,363,0.533,0.3,0.714,15.1,7.4,5.8,1.1,16.1,0.151,0.1,2.7
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,8,411,8228,3716,2238,408,0.607,0.267,0.747,20,9,5.4,1,27.4,0.16,0.3,4.8
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,8,492,14329,5859,1524,1333,0.428,0.364,0.84,29.1,11.9,3.1,2.7,25.5,0.085,-0.5,5.6
41,41,BRK,Pat Connaughton,Notre Dame,8,470,9018,2888,1644,590,0.436,0.359,0.777,19.2,6.1,3.5,1.3,20.4,0.109,-0.1,4.2
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,8,475,10815,5675,1246,720,0.465,0.388,0.826,22.8,11.9,2.6,1.5,22.6,0.1,-0.1,5.3
47,47,PHI,Art?ras Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani D?ez,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-5.7,0
57,57,DEN,Nikola Radi?evi?,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrovi?,,,,,,,,,,,,,,,,,,
