,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
42,42,SAC,Sean Singletary,Virginia,1,37,303,90,35,29,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0,0.006,-5.1,-0.2
43,43,SAC,Patrick Ewing,Georgetown,1,7,19,3,2,2,0,0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.1,0
44,44,UTA,Ante Tomic,,,,,,,,,,,,,,,,,,
45,45,SAS,Goran Dragic,,15,939,25521,12529,2804,4393,0.459,0.361,0.766,27.2,13.3,3,4.7,56.6,0.107,0.5,15.9
46,46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,,,
47,47,WAS,Henry Walker,Kansas State,5,181,3016,1079,401,153,0.446,0.369,0.76,16.7,6,2.2,0.8,5,0.079,-1.8,0.2
48,48,PHO,Malik Hairston,Oregon,2,62,472,149,77,29,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-2,0
49,49,GSW,Richard Hendrix,Alabama,,,,,,,,,,,,,,,,,
50,50,SEA,DeVon Hardin,California,,,,,,,,,,,,,,,,,
51,51,DAL,Shan Foster,Vanderbilt,,,,,,,,,,,,,,,,,
52,52,MIA,Darnell Jackson,Kansas,3,138,1039,308,203,26,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,-5.2,-0.8
53,53,UTA,Tadija Dragicevic,,,,,,,,,,,,,,,,,,
54,54,HOU,Maarty Leunen,Oregon,,,,,,,,,,,,,,,,,
55,55,POR,Mike Taylor,Iowa State,1,51,771,289,87,106,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.2,-0.6
56,56,SEA,Sasha Kaun,Kansas,1,25,95,23,26,3,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-2.8,0
57,57,SAS,James Gist,Maryland,,,,,,,,,,,,,,,,,
58,58,LAL,Joe Crawford,Kentucky,1,2,23,9,4,1,0.3,0.25,1,11.5,4.5,2,0.5,0,0.037,-2.7,0
59,59,DET,Deron Washington,Virginia Tech,,,,,,,,,,,,,,,,,
60,60,BOS,Semih Erden,,2,69,928,262,190,29,0.546,,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-3.6,-0.4
