,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,9,635,22125,12152,2835,1478,0.449,0.354,0.72,34.8,19.1,4.5,2.3,26.2,0.057,-1.5,3
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8,0.078,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,7,386,12270,10481,4327,1318,0.499,0.339,0.818,31.8,27.2,11.2,3.4,54.8,0.214,6.4,26.1
4,4,ORL,Aaron Gordon,Arizona,9,588,17084,7885,3707,1489,0.472,0.325,0.69,29.1,13.4,6.3,2.5,35.1,0.099,0.1,9.2
5,5,UTA,Dante Exum,,6,245,4545,1389,441,515,0.407,0.305,0.764,18.6,5.7,1.8,2.1,3.1,0.032,-3.3,-1.5
6,6,BOS,Marcus Smart,Oklahoma State,9,574,17238,6050,2042,2665,0.385,0.323,0.778,30,10.5,3.6,4.6,32.6,0.091,-0.3,7.5
7,7,LAL,Julius Randle,Kentucky,9,591,18768,11060,5557,2141,0.47,0.337,0.745,31.8,18.7,9.4,3.6,39.7,0.101,0.9,13.6
8,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,0.389,0.354,0.812,19.5,6.7,2,1.5,3.9,0.028,-3,-1.7
9,9,CHH,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,0.459,0.307,0.692,16.2,4.7,4.9,0.7,9.4,0.077,-2.5,-0.8
10,10,PHI,Elfrid Payton,Louisiana,8,500,13383,5036,2007,2868,0.447,0.287,0.623,26.8,10.1,4,5.7,15.8,0.057,-0.9,3.7
11,11,DEN,Doug McDermott,Creighton,9,586,12232,5438,1365,583,0.475,0.412,0.81,20.9,9.3,2.3,1,20.1,0.079,-2,0
12,12,ORL,Dario Šaric,,6,408,9708,4515,2277,770,0.442,0.359,0.838,23.8,11.1,5.6,1.9,17.8,0.088,-0.9,2.7
13,13,MIN,Zach LaVine,UCLA,9,545,17658,11144,2191,2135,0.464,0.385,0.833,32.4,20.4,4,3.9,29.9,0.081,0.7,11.9
14,14,PHO,T.J. Warren,NC State,8,366,10094,5398,1460,426,0.506,0.356,0.781,27.6,14.7,4,1.2,20.4,0.097,-0.4,4.1
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4
16,16,CHI,Jusuf Nurkic,,9,462,11175,5689,3980,1048,0.502,0.29,0.671,24.2,12.3,8.6,2.3,26.1,0.112,0.4,6.8
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8
19,19,CHI,Gary Harris,Michigan State,9,509,14499,5868,1246,1015,0.448,0.368,0.815,28.5,11.5,2.4,2,22.7,0.075,-1.4,2.4
20,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,0.403,0.308,0.836,12.3,4.2,2.6,0.7,1.5,0.054,-2.7,-0.2
21,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-2.6,-0.1
22,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2
23,23,UTA,Rodney Hood,Duke,8,448,10977,4656,1160,736,0.42,0.366,0.841,24.5,10.4,2.6,1.6,17.4,0.076,-1.2,2.2
24,24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1,0.065,-0.7,2
25,25,HOU,Clint Capela,,9,526,14078,6506,5630,513,0.626,0,0.531,26.8,12.4,10.7,1,58.9,0.201,2,14.3
26,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1
27,27,PHO,Bogdan Bogdanovic,,6,361,10314,5134,1225,1200,0.439,0.387,0.821,28.6,14.2,3.4,3.3,18.3,0.085,0.4,6.2
28,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-4.3,-0.2
29,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.5,-0.4
30,30,SAS,Kyle Anderson,UCLA,9,565,12248,3918,2537,1444,0.48,0.344,0.715,21.7,6.9,4.5,2.6,31.3,0.122,1.8,11.8
31,31,MIL,Damien Inglis,,1,20,156,36,31,10,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-5.6,-0.1
32,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-2.8,-0.4
33,33,CLE,Joe Harris,Virginia,9,478,11977,5076,1489,769,0.48,0.437,0.772,25.1,10.6,3.1,1.6,22.6,0.091,-0.7,4
34,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.9,-0.8
35,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.202,0.1,0.1
36,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2,0.006,-6.2,-1.8
37,37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,
38,38,DET,Spencer Dinwiddie,Colorado,9,456,12573,6262,1393,2340,0.418,0.334,0.795,27.6,13.7,3.1,5.1,28,0.107,0.4,7.6
39,39,PHI,Jerami Grant,Syracuse,9,618,16700,7619,2472,897,0.456,0.358,0.737,27,12.3,4,1.5,32.6,0.094,-0.4,6.8
40,40,MIN,Glenn Robinson III,Michigan,7,304,5299,1804,776,238,0.457,0.373,0.779,17.4,5.9,2.6,0.8,7.9,0.071,-1.7,0.4
41,41,DEN,Nikola Jokic,,8,591,18190,11947,6218,3915,0.553,0.349,0.828,30.8,20.2,10.5,6.6,93.7,0.247,9.4,52.3
42,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-6.5,-0.3
43,43,ATL,Edy Tavares,,2,13,101,33,32,4,0.625,,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.4,0
44,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.9,-0.4
45,45,CHH,Dwight Powell,Stanford,9,578,11053,4387,2639,585,0.598,0.292,0.743,19.1,7.6,4.6,1,42.7,0.186,1,8.4
46,46,WAS,Jordan Clarkson,Missouri,9,661,18179,10487,2217,1796,0.44,0.338,0.826,27.5,15.9,3.4,2.7,23.6,0.062,-0.6,6.5
47,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2,-0.068,-5.1,-0.1
48,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.7,-0.4
49,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1,-0.021,-8.1,-0.3
50,50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,
51,51,NYK,Thanasis Antetokounmpo,,5,155,1271,414,278,87,0.501,0.153,0.542,8.2,2.7,1.8,0.6,1.7,0.064,-4,-0.6
52,52,PHI,Vasilije Micic,,,,,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubic,,,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-5.1,-0.8
56,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.5,-0.4
57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,0.417,0.355,0.772,13.8,6.9,1.8,1.4,1.7,0.048,-2.1,0
59,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-3.3,-0.2
