Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
20,20,BOS,Matisse Thybulle,Washington,4,260,5291,1192,502,262,0.45,0.333,0.667,20.4,4.6,1.9,1,11,0.1,0.9,3.9
21,21,OKC,Brandon Clarke,Gonzaga,4,237,5051,2534,1325,334,0.604,0.29,0.705,21.3,10.7,5.6,1.4,20,0.19,2.8,6.2
22,22,BOS,Grant Williams,Tennessee,4,278,5895,1709,952,327,0.45,0.382,0.785,21.2,6.1,3.4,1.2,11.5,0.094,-1.7,0.4
23,23,UTA,Darius Bazley,,4,224,5347,2045,1206,271,0.409,0.31,0.675,23.9,9.1,5.4,1.2,2.8,0.025,-2.5,-0.7
24,24,PHI,Ty Jerome,Virginia,4,156,2731,1104,293,408,0.421,0.352,0.826,17.5,7.1,1.9,2.6,3.8,0.068,-1.6,0.3
25,25,POR,Nassir Little,UNC,4,187,3157,1105,600,146,0.455,0.34,0.721,16.9,5.9,3.2,0.8,4.4,0.066,-2.3,-0.2
26,26,CLE,Dylan Windler,Belmont,3,83,980,276,196,68,0.416,0.322,0.8,11.8,3.3,2.4,0.8,1.3,0.064,-1.6,0.1
27,27,BRK,Mfiondu Kabengele,Florida State,3,53,358,139,76,19,0.39,0.31,0.84,6.8,2.6,1.4,0.4,0.4,0.054,-3.4,-0.1
28,28,GSW,Jordan Poole,Michigan,4,257,6770,3995,669,873,0.419,0.337,0.88,26.3,15.5,2.6,3.4,8.8,0.062,-1.8,0.3
29,29,SAS,Keldon Johnson,Kentucky,4,221,6630,3622,1228,465,0.467,0.363,0.753,30,16.4,5.6,2.1,10.5,0.076,-1.2,1.4
30,30,MIL,Kevin Porter Jr.,USC,4,187,5607,2812,802,939,0.427,0.351,0.72,30,15,4.3,5,3.1,0.026,-1.8,0.3
31,31,BRK,Nic Claxton,Georgia,4,160,3704,1517,1080,205,0.678,0.143,0.53,23.2,9.5,6.8,1.3,13.7,0.177,1.6,3.4
32,32,PHO,KZ Okpala,Stanford,4,98,965,222,148,47,0.409,0.286,0.667,9.8,2.3,1.5,0.5,1,0.049,-4.7,-0.7
33,33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,0.364,0.297,0.758,9.8,3.7,1.1,0.7,0.3,0.019,-5.1,-0.5
34,34,PHI,Bruno Fernando,Maryland,4,153,1463,509,455,97,0.525,0.143,0.631,9.6,3.3,3,0.6,2,0.066,-3.5,-0.5
35,35,ATL,Didi Louzada,,2,12,185,43,20,8,0.326,0.355,1,15.4,3.6,1.7,0.7,-0.1,-0.034,-8.1,-0.3
36,36,CHO,Cody Martin,Nevada,4,178,3752,1024,628,371,0.457,0.318,0.658,21.1,5.8,3.5,2.1,6.1,0.078,-1.4,0.6
37,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,0.3,0.314,0.5,7,1.9,1.5,0.3,-0.1,-0.032,-5.9,-0.2
38,38,CHI,Daniel Gafford,Arkansas,4,238,4206,1861,1113,190,0.707,0,0.658,17.7,7.8,4.7,0.8,16.6,0.19,1.2,3.4
39,39,NOP,Alen Smailagic,,2,29,223,87,43,17,0.463,0.304,0.72,7.7,3,1.5,0.6,0.3,0.056,-3.3,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2
41,41,GSW,Eric Paschall,Villanova,3,158,3085,1552,509,214,0.494,0.326,0.758,19.5,9.8,3.2,1.4,5,0.078,-2.2,-0.1
42,42,PHI,Admiral Schofield,Tennessee,3,102,1205,374,188,65,0.427,0.33,0.796,11.8,3.7,1.8,0.6,1.4,0.055,-4.3,-0.7
43,43,MIN,Jaylen Nowell,Washington,4,182,3113,1653,396,341,0.447,0.323,0.801,17.1,9.1,2.2,1.9,4.8,0.075,-1.6,0.3
44,44,MIA,Bol Bol,Oregon,4,120,1759,747,450,79,0.548,0.316,0.738,14.7,6.2,3.8,0.7,2.6,0.07,-1.1,0.4
45,45,DET,Isaiah Roby,Nebraska,4,151,2858,1159,667,216,0.485,0.351,0.675,18.9,7.7,4.4,1.4,4.1,0.068,-2.3,-0.2
46,46,ORL,Talen Horton-Tucker,Iowa State,4,188,3962,1741,540,538,0.431,0.278,0.779,21.1,9.3,2.9,2.9,3.9,0.047,-2.2,-0.2
47,47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,0.416,0.315,0.686,13.1,5,1.9,0.9,0.4,0.024,-4.9,-0.6
48,48,LAC,Terance Mann,Florida State,4,260,5589,2079,971,528,0.502,0.381,0.785,21.5,8,3.7,2,14.1,0.121,-0.3,2.3
49,49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,0.452,0.188,0.826,6.5,2.1,0.8,0.6,0.2,0.03,-5.5,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,0.438,0.366,0.75,6.3,2.4,1.3,0.7,0.5,0.099,-0.6,0.1
51,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,0.354,0.296,0.96,10.2,3.7,0.9,2.1,0.1,0.012,-3,-0.1
52,52,CHO,Jalen McDaniels,San Diego State,4,189,3817,1456,723,244,0.464,0.339,0.778,20.2,7.7,3.8,1.3,5.7,0.071,-2.7,-0.7
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0,-0.008,-9,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75,7,2.8,1.8,0.3,-0.1,-0.13,-13,-0.1
55,55,NYK,Kyle Guy,Virginia,3,53,431,165,53,50,0.361,0.303,0.75,8.1,3.1,1,0.9,0.1,0.006,-4.9,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,0.378,0.286,,10.4,2.8,1.2,1.1,0.1,0.01,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,3,80,672,145,108,37,0.35,0.33,0.75,8.4,1.8,1.4,0.5,1,0.07,-2.5,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0,0.043,-9.6,-0.1
60,60,SAC,Vanja Marinkovic,,,,,,,,,,,,,,,,,,
