Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,3,114,3650,2941,793,409,0.605,0.343,0.691,32,25.8,7,3.6,14.1,0.186,5.1,6.5
2,2,MEM,Ja Morant,Murray State,4,240,7737,5397,1153,1771,0.472,0.324,0.751,32.2,22.5,4.8,7.4,19.3,0.119,2.9,9.5
3,3,NYK,RJ Barrett,Duke,4,264,8876,4773,1437,746,0.423,0.346,0.71,33.6,18.1,5.4,2.8,8.2,0.044,-2.3,-0.7
4,4,LAL,De'Andre Hunter,Virginia,4,200,6223,2780,828,311,0.444,0.358,0.797,31.1,13.9,4.1,1.6,5.3,0.041,-3.4,-2.2
5,5,CLE,Darius Garland,Vanderbilt,4,243,8226,4502,633,1627,0.45,0.388,0.867,33.9,18.5,2.6,6.7,13.7,0.08,0,4
6,6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6
7,7,CHI,Coby White,UNC,4,258,6930,3232,863,824,0.415,0.365,0.851,26.9,12.5,3.3,3.2,7.8,0.054,-2.2,-0.4
8,8,ATL,Jaxson Hayes,Texas,4,237,4038,1806,959,168,0.625,0.294,0.719,17,7.6,4,0.7,14,0.166,0,2
9,9,WAS,Rui Hachimura,Gonzaga,4,201,5472,2543,1003,266,0.479,0.355,0.772,27.2,12.7,5,1.3,6.9,0.06,-2.6,-0.9
10,10,ATL,Cam Reddish,Duke,4,169,4214,1756,506,225,0.399,0.325,0.84,24.9,10.4,3,1.3,2.1,0.024,-3.1,-1.2
11,11,MIN,Cameron Johnson,UNC,4,215,5316,2383,799,306,0.443,0.39,0.833,24.7,11.1,3.7,1.4,13.3,0.12,1.3,4.4
12,12,CHO,P.J. Washington,Kentucky,4,255,7716,3228,1401,590,0.449,0.366,0.707,30.3,12.7,5.5,2.3,10.3,0.064,-1.1,1.8
13,13,MIA,Tyler Herro,Kentucky,4,234,7379,4117,1155,821,0.438,0.382,0.872,31.5,17.6,4.9,3.5,10,0.065,-0.3,3.2
14,14,BOS,Romeo Langford,Indiana,4,134,2151,619,285,91,0.437,0.294,0.651,16.1,4.6,2.1,0.7,2.3,0.051,-3.1,-0.6
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,0.388,0.256,0.693,17.1,5.6,2.8,0.7,-0.4,-0.013,-6.5,-1.8
16,16,ORL,Chuma Okeke,Auburn,3,137,3295,1058,606,245,0.388,0.324,0.802,24.1,7.7,4.4,1.8,4.1,0.06,-0.7,1
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,4,208,3842,1793,505,446,0.397,0.337,0.714,18.5,8.6,2.4,2.1,1.6,0.02,-2.3,-0.3
18,18,IND,Goga Bitadze,,4,178,2062,854,517,142,0.481,0.255,0.673,11.6,4.8,2.9,0.8,4.8,0.111,-1.1,0.5
19,19,SAS,Luka �amanic,,2,36,356,138,78,21,0.43,0.294,0.576,9.9,3.8,2.2,0.6,0.1,0.015,-4.8,-0.3
